,NET_INCOME,OP_PROFIT_LOSS,TRANS_REV_PAX,MAIL,PROP_FREIGHT,CHARTER_PAX,TRANS_REVENUE,OP_REVENUES,FLYING_OPS,MAINTENANCE,PAX_SERVICE,AIRCFT_SERVICES,OP_EXPENSES,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,REGION,YEAR,QUARTER,Unnamed: 18
416,-1143876.0,-2628872.0,1354022.0,0.0,40548.0,6220.0,11648.0,1773269.0,1672609.0,363182.0,570396.0,941336.0,4402141.0,WN,Southwest Airlines Co.,D,2020,3,
417,-1100395.86,-2198532.83,268357.67,3933.68,22041.01,18224.49,582431.86,925843.42,500270.79,243810.18,187052.71,882583.92,3124376.26,UA,United Air Lines Inc.,D,2020,2,
418,-965139.4,-589042.69,2864963.75,17366.23,44091.73,23007.79,1918258.66,5077445.07,1349962.0,496515.52,399750.11,1096753.06,5666487.76,UA,United Air Lines Inc.,D,2020,1,
419,-914578.0,-2216779.0,618890.0,0.0,37676.0,3375.0,12538.0,1007273.0,1244376.0,328869.0,345720.0,703594.0,3224052.0,WN,Southwest Airlines Co.,D,2020,2,
420,-653336.0,-326933.0,36594.0,4282.0,20753.0,15587.0,7739.0,168163.0,141577.0,18830.0,60219.0,132768.0,495096.0,DL,Delta Air Lines Inc.,A,2020,2,
421,-528143.0,-386601.0,4056268.0,13081.0,39603.0,54045.0,1360411.0,6383908.0,1803952.0,653165.0,655450.0,1203743.0,6770509.0,DL,Delta Air Lines Inc.,D,2020,1,
422,-479902.0,-943486.0,348395.0,8840.0,22658.0,4816.0,243420.0,682819.0,309330.0,124952.0,78062.0,152726.0,1626306.0,AS,Alaska Airlines Inc.,D,2020,3,
423,-456254.0,-152773.0,103566.0,5920.0,52855.0,12517.0,2326.0,242964.0,142731.0,23250.0,37531.0,98298.0,395737.0,DL,Delta Air Lines Inc.,A,2020,3,
424,-397490.0,-615775.0,,509.0,485434.0,,1434974.0,1948833.0,204407.0,158602.0,,263494.0,2564608.0,FX,Federal Express Corporation,A,2020,1,
425,-385244.36,-385244.36,51639.12,9013.43,66208.21,0.0,1810.08,140635.63,136552.73,57777.4,36594.87,49011.55,525879.99,AA,American Airlines Inc.,A,2020,3,
