"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
2020,3,20378,"YV","Mesa Airlines Inc.","YV","Mesa Airlines Inc.",2,2,3669,12,3681,3675,
2020,3,20452,"YX","Republic Airline","YX","Republic Airline",3,3,6195,324,6519,6357,
2020,3,20046,"ZW","Air Wisconsin Airlines Corp","ZW","Air Wisconsin Airlines Corp",2,2,1385,357,1742,1564,
2020,9,21352,"0WQ","Avjet Corporation","0WQ","Avjet Corporation",1,1,144,0,144,144,
2020,9,21492,"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC","1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",1,1,292,0,292,292,
2020,9,21577,"1TQ","Rhoades Aviation dba Transair","1TQ","Rhoades Aviation dba Transair",1,1,149,37,186,168,
2020,9,21652,"27Q","Jet Aviation Flight Services, Inc.","27Q","Jet Aviation Flight Services, Inc.",1,1,593,0,593,593,
2020,9,21712,"2HQ","Elite Airways LLC","2HQ","Elite Airways LLC",2,2,63,20,83,73,
2020,9,21754,"2PQ","21 Air LLC","2PQ","21 Air LLC",1,4,65,0,65,65,
2020,9,21854,"34Q","Polaris Aviation Solutions, LLC","34Q","Polaris Aviation Solutions, LLC",1,4,27,15,42,35,
2020,9,21875,"37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC","37Q","Hillwood Airways, LLC  f/k/a   ATX Air Services, LLC",1,4,48,1,49,49,
2020,9,21974,"3EQ","Scott Aviation, LLC  d/b/a  Silver Air","3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1,1,94,0,94,94,
2020,9,20408,"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo","5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",1,1,299,61,360,330,
2020,9,19917,"5X","United Parcel Service","5X","United Parcel Service",3,3,6267,112,6379,6323,
2020,9,20007,"5Y","Atlas Air Inc.","5Y","Atlas Air Inc.",3,3,3353,10,3363,3358,
2020,9,19874,"8C","Air Transport International","8C","Air Transport International",2,2,916,0,916,916,
2020,9,20363,"9E","Endeavor Air Inc.","9E","Endeavor Air Inc.",2,2,4287,65,4352,4320,
2020,9,20190,"9S","Southern Air Inc.","9S","Southern Air Inc.",2,2,542,0,542,542,
2020,9,19805,"AA","American Airlines Inc.","AA","American Airlines Inc.",3,3,95197,10973,106170,100684,
2020,9,20453,"ABX","ABX Air Inc","ABX","ABX Air Inc",2,2,459,7,466,463,
2020,9,20201,"AMQ","Ameristar Air Cargo","AMQ","Ameristar Air Cargo",1,4,23,0,23,23,
2020,9,19930,"AS","Alaska Airlines Inc.","AS","Alaska Airlines Inc.",3,3,15471,2010,17481,16476,
2020,9,20409,"B6","JetBlue Airways","B6","JetBlue Airways",3,3,15735,3913,19648,17692,
2020,9,19790,"DL","Delta Air Lines Inc.","DL","Delta Air Lines Inc.",3,3,55767,5743,61510,58639,
2020,9,20436,"F9","Frontier Airlines Inc.","F9","Frontier Airlines Inc.",3,3,4990,65,5055,5023,
