"NET_INCOME","OP_PROFIT_LOSS","TRANS_REV_PAX","MAIL","PROP_FREIGHT","CHARTER_PAX","TRANS_REVENUE","OP_REVENUES","FLYING_OPS","MAINTENANCE","PAX_SERVICE","AIRCFT_SERVICES","OP_EXPENSES","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","YEAR","QUARTER",
-85422.00,-71005.00,,1817.00,640505.00,,621844.00,1328650.00,253998.00,121223.00,,188321.00,1399655.00,"FX","Federal Express Corporation","P",2020,2,
-81493.21,-223081.77,22690.20,48.88,9107.00,0.00,17823.27,54294.06,82951.86,29562.47,28117.23,39990.42,277375.83,"HA","Hawaiian Airlines Inc.","D",2020,2,
-79904.89,-95287.98,0.00,0.00,806440.61,0.00,109.51,808927.22,371801.93,284687.08,0.00,117134.72,904215.20,"5X","United Parcel Service","D",2020,2,
-79219.65,-109881.67,0.00,0.00,961172.10,0.00,284.50,963334.96,510915.81,293414.50,0.00,124145.56,1073216.63,"5X","United Parcel Service","D",2020,1,
-76996.85,-155571.14,39902.56,249.85,8764.16,342.74,19779.81,73126.49,47222.64,18487.90,19973.48,55633.53,228697.63,"UA","United Air Lines Inc.","L",2020,2,
-74342.17,-228388.77,32841.88,27.21,12582.32,927.55,19414.33,70078.03,78242.79,32446.22,29777.28,41930.41,298466.80,"HA","Hawaiian Airlines Inc.","D",2020,3,
-74098.00,-85336.00,,0.00,108120.00,,154623.00,271655.00,33010.00,9931.00,,78680.00,356991.00,"FX","Federal Express Corporation","L",2020,1,
-68633.49,-113566.33,231511.67,0.00,0.00,0.00,121311.63,499978.41,392852.26,36727.02,38852.59,95354.63,613544.74,"F9","Frontier Airlines Inc.","D",2020,1,
-66112.42,-31334.57,118328.16,0.00,0.00,0.00,0.00,118328.16,72742.49,51171.88,15497.12,262.63,149662.73,"9E","Endeavor Air Inc.","D",2020,3,
-57832.00,-72830.00,,0.00,98963.00,,132273.00,239925.00,22918.00,9211.00,,78065.00,312755.00,"FX","Federal Express Corporation","L",2020,2,
-50752.58,-169515.46,118455.65,0.00,0.00,0.00,60298.99,243563.20,255917.98,25348.39,25553.70,67519.14,413078.65,"F9","Frontier Airlines Inc.","D",2020,3,
-46229.86,-95238.61,150973.18,0.00,95.99,0.00,18128.62,187167.31,91658.66,34845.01,25892.98,46960.24,282405.93,"B6","JetBlue Airways","L",2020,3,
-41593.80,-113499.15,139375.26,0.00,0.00,5283.66,2784.29,185963.96,104960.34,26024.14,18028.73,41883.80,299463.12,"G4","Allegiant Air","D",2020,3,
-39665.00,-48705.00,104920.00,0.00,2.00,0.00,0.00,104971.00,18870.00,23129.00,7629.00,7518.00,153676.00,"QX","Horizon Air","D",2020,1,
-38642.45,-198594.93,307097.54,0.00,0.00,0.00,4165.11,338952.16,249307.53,143460.09,26969.67,27625.85,537547.09,"OO","SkyWest Airlines Inc.","D",2020,2,
-38598.38,-99311.98,91703.46,0.00,0.00,0.00,0.00,91703.46,97463.35,49018.67,13050.13,7414.56,191015.44,"OH","PSA Airlines Inc.","D",2020,3,
-28991.47,-17455.41,0.00,0.00,123000.76,56507.46,0.00,338441.80,167850.66,75865.51,9911.91,45015.13,355897.20,"5Y","Atlas Air Inc.","I",2020,1,
-25184.62,-52482.74,342657.57,0.00,0.00,0.00,1971.14,697828.22,361841.35,48611.65,47857.06,67643.41,750310.96,"NK","Spirit Air Lines","D",2020,1,
-24451.26,-58316.49,59917.80,0.00,0.00,0.00,0.00,59917.80,66510.90,26229.64,12410.00,305.58,118234.28,"9E","Endeavor Air Inc.","D",2020,2,
-22091.27,-36109.29,27217.04,0.00,0.00,0.00,0.00,27217.04,24320.84,13347.33,3393.13,2526.09,63326.32,"EV","ExpressJet Airlines LLC","D",2020,3,
-21908.94,-21141.93,176361.41,0.00,0.00,0.00,0.00,176361.41,83128.36,74534.49,21101.47,927.63,197503.34,"9E","Endeavor Air Inc.","D",2020,1,
-21590.09,-21590.09,86.04,8.01,5011.79,905.53,0.00,6011.38,17729.82,3313.11,157.42,1387.52,27601.47,"HA","Hawaiian Airlines Inc.","P",2020,3,
-21355.00,-42079.00,15531.00,0.00,0.00,215.00,0.00,17699.00,13789.00,5570.00,3480.00,6808.00,59778.00,"AS","Alaska Airlines Inc.","L",2020,3,
