"YEAR","MONTH","AIRLINE_ID","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","CARRIER","CARRIER_NAME","CARRIER_GROUP","CARRIER_GROUP_NEW","EMPFULL","EMPPART","EMPTOTAL","EMPFTE",
2019,10,20500,"G7","GoJet Airlines LLC d/b/a United Express","G7","GoJet Airlines LLC d/b/a United Express",2,2,1070,0,1070,1070,
2019,10,20166,"GFQ","Gulf And Caribbean Cargo","GFQ","Gulf And Caribbean Cargo",1,1,114,0,114,114,
2019,10,20402,"GL","Miami Air International","GL","Miami Air International",2,2,332,13,345,339,
2019,10,19690,"HA","Hawaiian Airlines Inc.","HA","Hawaiian Airlines Inc.",3,3,5945,1466,7411,6678,
2019,10,20370,"KAQ","Kalitta Air LLC","KAQ","Kalitta Air LLC",2,2,2059,10,2069,2064,
2019,10,21629,"KD","Western Global","KD","Western Global",2,2,416,2,418,417,
2019,10,21634,"KH","Aloha Air Cargo","KH","Aloha Air Cargo",2,2,383,61,444,414,
2019,10,20372,"KLQ","Kalitta Charters II","KLQ","Kalitta Charters II",1,1,160,0,160,160,
2019,10,20169,"L2","Lynden Air Cargo Airlines","L2","Lynden Air Cargo Airlines",1,1,204,0,204,204,
2019,10,20151,"M6","Amerijet International","M6","Amerijet International",2,2,694,0,694,694,
2019,10,20398,"MQ","Envoy Air","MQ","Envoy Air",3,3,12390,4373,16763,14577,
2019,10,20405,"N8","National Air Cargo Group Inc d/ba National Airlines","N8","National Air Cargo Group Inc d/ba National Airlines",2,2,230,0,230,230,
2019,10,20108,"NC","Northern Air Cargo Inc.","NC","Northern Air Cargo Inc.",1,1,387,5,392,390,
2019,10,20416,"NK","Spirit Air Lines","NK","Spirit Air Lines",3,3,8103,342,8445,8274,
2019,10,20397,"OH","PSA Airlines Inc.","OH","PSA Airlines Inc.",2,2,4676,8,4684,4680,
2019,10,20304,"OO","SkyWest Airlines Inc.","OO","SkyWest Airlines Inc.",3,3,13154,4049,17203,15179,
2019,10,20177,"PFQ","Asia Pacific","PFQ","Asia Pacific",1,1,62,1,63,63,
2019,10,21402,"PM","Prescott Support Company, Inc.","PM","Prescott Support Company, Inc.",1,4,21,27,48,35,
2019,10,20100,"PO","Polar Air Cargo Airways","PO","Polar Air Cargo Airways",3,3,222,0,222,222,
2019,10,19687,"QX","Horizon Air","QX","Horizon Air",2,2,3384,839,4223,3804,
2019,10,19998,"SI","Sierra Pacific Airlines","SI","Sierra Pacific Airlines",1,4,14,22,36,25,
