"NET_INCOME","OP_PROFIT_LOSS","TRANS_REV_PAX","MAIL","PROP_FREIGHT","CHARTER_PAX","TRANS_REVENUE","OP_REVENUES","FLYING_OPS","MAINTENANCE","PAX_SERVICE","AIRCFT_SERVICES","OP_EXPENSES","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","REGION","YEAR","QUARTER",
-392212.00,-618716.00,,90.00,462011.00,,1513665.00,1985316.00,207151.00,89999.00,,262472.00,2604032.00,"FX","Federal Express Corporation","A",2019,2,
-384441.00,-617926.00,,410.00,504293.00,,1514804.00,2034978.00,210015.00,187921.00,,262979.00,2652904.00,"FX","Federal Express Corporation","A",2019,4,
-309146.00,-610020.00,,355.00,471623.00,,1485315.00,1969880.00,204111.00,136150.00,,261031.00,2579900.00,"FX","Federal Express Corporation","A",2019,3,
-299806.00,-308655.00,,3407.00,493415.00,,594476.00,1105672.00,255218.00,102259.00,,194433.00,1414327.00,"FX","Federal Express Corporation","P",2019,4,
-276899.00,-273748.00,,436.00,467875.00,,625588.00,1118098.00,253729.00,88117.00,,187679.00,1391846.00,"FX","Federal Express Corporation","P",2019,2,
-247223.00,-503503.00,,189.00,464570.00,,1611064.00,2087890.00,197313.00,87097.00,,252475.00,2591393.00,"FX","Federal Express Corporation","A",2019,1,
-229686.00,-228386.00,,1967.00,520501.00,,598889.00,1133763.00,248597.00,114811.00,,190561.00,1362149.00,"FX","Federal Express Corporation","P",2019,3,
-205106.48,-251094.56,0.00,0.00,159361.54,68779.14,0.00,392096.40,186060.81,62002.49,10812.34,45779.31,643190.96,"5Y","Atlas Air Inc.","I",2019,4,
-127549.00,-202416.00,,748.00,475687.00,,565588.00,1044724.00,237534.00,85794.00,,173580.00,1247140.00,"FX","Federal Express Corporation","P",2019,1,
-123345.00,-116712.00,,0.00,101686.00,,169446.00,281477.00,31482.00,13603.00,,94441.00,398189.00,"FX","Federal Express Corporation","L",2019,2,
-118206.44,-118206.44,349171.57,7266.75,39117.94,0.00,14415.61,499147.14,233281.21,81559.82,60146.74,76754.05,617353.57,"AA","American Airlines Inc.","P",2019,4,
-111016.00,-115850.00,,0.00,86469.00,,167273.00,263620.00,28198.00,11456.00,,91705.00,379470.00,"FX","Federal Express Corporation","L",2019,1,
